CUST_ID,agg_ncluster2_linkageward,agg_ncluster2_linkagecomplete,agg_ncluster2_linkageaverage,agg_ncluster2_linkagesingle,agg_ncluster3_linkageward,agg_ncluster3_linkagecomplete,agg_ncluster3_linkageaverage,agg_ncluster3_linkagesingle,agg_ncluster4_linkageward,agg_ncluster4_linkagecomplete,agg_ncluster4_linkageaverage,agg_ncluster4_linkagesingle,agg_ncluster5_linkageward,agg_ncluster5_linkagecomplete,agg_ncluster5_linkageaverage,agg_ncluster5_linkagesingle,agg_ncluster6_linkageward,agg_ncluster6_linkagecomplete,agg_ncluster6_linkageaverage,agg_ncluster6_linkagesingle,agg_ncluster7_linkageward,agg_ncluster7_linkagecomplete,agg_ncluster7_linkageaverage,agg_ncluster7_linkagesingle,agg_ncluster8_linkageward,agg_ncluster8_linkagecomplete,agg_ncluster8_linkageaverage,agg_ncluster8_linkagesingle,agg_ncluster9_linkageward,agg_ncluster9_linkagecomplete,agg_ncluster9_linkageaverage,agg_ncluster9_linkagesingle,agg_ncluster10_linkageward,agg_ncluster10_linkagecomplete,agg_ncluster10_linkageaverage,agg_ncluster10_linkagesingle,ms_quantile0.1,ms_quantile0.2,ms_quantile0.3,ms_quantile0.4,ms_quantile0.5,birch_threshold0.1_factor10_ncluster2,birch_threshold0.1_factor10_ncluster3,birch_threshold0.1_factor10_ncluster4,birch_threshold0.1_factor10_ncluster5,birch_threshold0.1_factor10_ncluster6,birch_threshold0.1_factor20_ncluster2,birch_threshold0.1_factor20_ncluster3,birch_threshold0.1_factor20_ncluster4,birch_threshold0.1_factor20_ncluster5,birch_threshold0.1_factor20_ncluster6,birch_threshold0.1_factor30_ncluster2,birch_threshold0.1_factor30_ncluster3,birch_threshold0.1_factor30_ncluster4,birch_threshold0.1_factor30_ncluster5,birch_threshold0.1_factor30_ncluster6,birch_threshold0.1_factor40_ncluster2,birch_threshold0.1_factor40_ncluster3,birch_threshold0.1_factor40_ncluster4,birch_threshold0.1_factor40_ncluster5,birch_threshold0.1_factor40_ncluster6,birch_threshold0.1_factor50_ncluster2,birch_threshold0.1_factor50_ncluster3,birch_threshold0.1_factor50_ncluster4,birch_threshold0.1_factor50_ncluster5,birch_threshold0.1_factor50_ncluster6,birch_threshold0.3_factor10_ncluster2,birch_threshold0.3_factor10_ncluster3,birch_threshold0.3_factor10_ncluster4,birch_threshold0.3_factor10_ncluster5,birch_threshold0.3_factor10_ncluster6,birch_threshold0.3_factor20_ncluster2,birch_threshold0.3_factor20_ncluster3,birch_threshold0.3_factor20_ncluster4,birch_threshold0.3_factor20_ncluster5,birch_threshold0.3_factor20_ncluster6,birch_threshold0.3_factor30_ncluster2,birch_threshold0.3_factor30_ncluster3,birch_threshold0.3_factor30_ncluster4,birch_threshold0.3_factor30_ncluster5,birch_threshold0.3_factor30_ncluster6,birch_threshold0.3_factor40_ncluster2,birch_threshold0.3_factor40_ncluster3,birch_threshold0.3_factor40_ncluster4,birch_threshold0.3_factor40_ncluster5,birch_threshold0.3_factor40_ncluster6,birch_threshold0.3_factor50_ncluster2,birch_threshold0.3_factor50_ncluster3,birch_threshold0.3_factor50_ncluster4,birch_threshold0.3_factor50_ncluster5,birch_threshold0.3_factor50_ncluster6,birch_threshold0.5_factor10_ncluster2,birch_threshold0.5_factor10_ncluster3,birch_threshold0.5_factor10_ncluster4,birch_threshold0.5_factor10_ncluster5,birch_threshold0.5_factor10_ncluster6,birch_threshold0.5_factor20_ncluster2,birch_threshold0.5_factor20_ncluster3,birch_threshold0.5_factor20_ncluster4,birch_threshold0.5_factor20_ncluster5,birch_threshold0.5_factor20_ncluster6,birch_threshold0.5_factor30_ncluster2,birch_threshold0.5_factor30_ncluster3,birch_threshold0.5_factor30_ncluster4,birch_threshold0.5_factor30_ncluster5,birch_threshold0.5_factor30_ncluster6,birch_threshold0.5_factor40_ncluster2,birch_threshold0.5_factor40_ncluster3,birch_threshold0.5_factor40_ncluster4,birch_threshold0.5_factor40_ncluster5,birch_threshold0.5_factor40_ncluster6,birch_threshold0.5_factor50_ncluster2,birch_threshold0.5_factor50_ncluster3,birch_threshold0.5_factor50_ncluster4,birch_threshold0.5_factor50_ncluster5,birch_threshold0.5_factor50_ncluster6,birch_threshold0.7_factor10_ncluster2,birch_threshold0.7_factor10_ncluster3,birch_threshold0.7_factor10_ncluster4,birch_threshold0.7_factor10_ncluster5,birch_threshold0.7_factor10_ncluster6,birch_threshold0.7_factor20_ncluster2,birch_threshold0.7_factor20_ncluster3,birch_threshold0.7_factor20_ncluster4,birch_threshold0.7_factor20_ncluster5,birch_threshold0.7_factor20_ncluster6,birch_threshold0.7_factor30_ncluster2,birch_threshold0.7_factor30_ncluster3,birch_threshold0.7_factor30_ncluster4,birch_threshold0.7_factor30_ncluster5,birch_threshold0.7_factor30_ncluster6,birch_threshold0.7_factor40_ncluster2,birch_threshold0.7_factor40_ncluster3,birch_threshold0.7_factor40_ncluster4,birch_threshold0.7_factor40_ncluster5,birch_threshold0.7_factor40_ncluster6,birch_threshold0.7_factor50_ncluster2,birch_threshold0.7_factor50_ncluster3,birch_threshold0.7_factor50_ncluster4,birch_threshold0.7_factor50_ncluster5,birch_threshold0.7_factor50_ncluster6,birch_threshold0.9_factor10_ncluster2,birch_threshold0.9_factor10_ncluster3,birch_threshold0.9_factor10_ncluster4,birch_threshold0.9_factor10_ncluster5,birch_threshold0.9_factor10_ncluster6,birch_threshold0.9_factor20_ncluster2,birch_threshold0.9_factor20_ncluster3,birch_threshold0.9_factor20_ncluster4,birch_threshold0.9_factor20_ncluster5,birch_threshold0.9_factor20_ncluster6,birch_threshold0.9_factor30_ncluster2,birch_threshold0.9_factor30_ncluster3,birch_threshold0.9_factor30_ncluster4,birch_threshold0.9_factor30_ncluster5,birch_threshold0.9_factor30_ncluster6,birch_threshold0.9_factor40_ncluster2,birch_threshold0.9_factor40_ncluster3,birch_threshold0.9_factor40_ncluster4,birch_threshold0.9_factor40_ncluster5,birch_threshold0.9_factor40_ncluster6,birch_threshold0.9_factor50_ncluster2,birch_threshold0.9_factor50_ncluster3,birch_threshold0.9_factor50_ncluster4,birch_threshold0.9_factor50_ncluster5,birch_threshold0.9_factor50_ncluster6,hdbscan_mincluster5_minsample5,hdbscan_mincluster5_minsample6,hdbscan_mincluster5_minsample7,hdbscan_mincluster5_minsample8,hdbscan_mincluster5_minsample9,hdbscan_mincluster5_minsample10,hdbscan_mincluster10_minsample5,hdbscan_mincluster10_minsample6,hdbscan_mincluster10_minsample7,hdbscan_mincluster10_minsample8,hdbscan_mincluster10_minsample9,hdbscan_mincluster10_minsample10,hdbscan_mincluster15_minsample5,hdbscan_mincluster15_minsample6,hdbscan_mincluster15_minsample7,hdbscan_mincluster15_minsample8,hdbscan_mincluster15_minsample9,hdbscan_mincluster15_minsample10,hdbscan_mincluster20_minsample5,hdbscan_mincluster20_minsample6,hdbscan_mincluster20_minsample7,hdbscan_mincluster20_minsample8,hdbscan_mincluster20_minsample9,hdbscan_mincluster20_minsample10,hdbscan_mincluster25_minsample5,hdbscan_mincluster25_minsample6,hdbscan_mincluster25_minsample7,hdbscan_mincluster25_minsample8,hdbscan_mincluster25_minsample9,hdbscan_mincluster25_minsample10,hdbscan_mincluster30_minsample5,hdbscan_mincluster30_minsample6,hdbscan_mincluster30_minsample7,hdbscan_mincluster30_minsample8,hdbscan_mincluster30_minsample9,hdbscan_mincluster30_minsample10,hdbscan_mincluster35_minsample5,hdbscan_mincluster35_minsample6,hdbscan_mincluster35_minsample7,hdbscan_mincluster35_minsample8,hdbscan_mincluster35_minsample9,hdbscan_mincluster35_minsample10,hdbscan_mincluster40_minsample5,hdbscan_mincluster40_minsample6,hdbscan_mincluster40_minsample7,hdbscan_mincluster40_minsample8,hdbscan_mincluster40_minsample9,hdbscan_mincluster40_minsample10,hdbscan_mincluster45_minsample5,hdbscan_mincluster45_minsample6,hdbscan_mincluster45_minsample7,hdbscan_mincluster45_minsample8,hdbscan_mincluster45_minsample9,hdbscan_mincluster45_minsample10,hdbscan_mincluster50_minsample5,hdbscan_mincluster50_minsample6,hdbscan_mincluster50_minsample7,hdbscan_mincluster50_minsample8,hdbscan_mincluster50_minsample9,hdbscan_mincluster50_minsample10,optics_minsamp30_xi0.0005,optics_minsamp30_xi0.005,optics_minsamp30_xi0.01,optics_minsamp30_xi0.02,optics_minsamp30_xi0.05,optics_minsamp60_xi0.0005,optics_minsamp60_xi0.005,optics_minsamp60_xi0.01,optics_minsamp60_xi0.02,optics_minsamp60_xi0.05,optics_minsamp80_xi0.0005,optics_minsamp80_xi0.005,optics_minsamp80_xi0.01,optics_minsamp80_xi0.02,optics_minsamp80_xi0.05,optics_minsamp120_xi0.0005,optics_minsamp120_xi0.005,optics_minsamp120_xi0.01,optics_minsamp120_xi0.02,optics_minsamp120_xi0.05,optics_minsamp140_xi0.0005,optics_minsamp140_xi0.005,optics_minsamp140_xi0.01,optics_minsamp140_xi0.02,optics_minsamp140_xi0.05
C17875,0,0,0,0,2,2,0,0,2,0,1,0,2,4,1,0,2,4,1,0,6,4,1,2,6,4,1,2,6,4,1,2,6,4,1,2,3,2,0,0,0,0,2,2,2,5,0,2,2,2,2,0,2,2,2,5,0,1,0,4,4,0,2,2,2,2,0,1,0,3,3,0,1,0,3,3,0,1,0,4,4,0,2,2,2,2,0,2,2,0,5,0,1,0,4,4,0,0,1,4,4,0,0,2,2,2,0,2,2,0,2,0,2,2,0,5,0,1,0,4,4,0,0,2,2,5,0,2,2,2,5,0,2,2,0,5,0,1,0,4,4,0,2,2,0,5,0,2,2,2,2,0,2,2,2,2,0,2,2,2,2,0,2,2,2,2,53,28,18,21,22,19,16,18,15,14,16,15,14,14,13,13,12,12,13,13,13,13,12,1,12,13,12,1,1,1,11,11,1,1,1,1,8,8,0,0,0,0,5,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
C16296,0,1,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0,2,0,0,1,2,5,0,0,0,2,0,0,3,0,0,9,3,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2,2,0,1,0,1,0,0,1,1,0,1,0,2,1,0,3,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,2,2,0,0,1,1,0,0,2,0,2,0,0,1,0,1,0,2,0,0,1,0,4,4,0,2,2,0,2,1,1,1,0,2,0,0,1,0,1,0,1,0,2,0,0,2,2,0,0,0,1,0,2,0,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,-1,-1,-1,-1,-1,-1,43,-1,-1,-1,38,-1,36,-1,-1,-1,31,-1,30,-1,-1,-1,27,1,27,-1,-1,1,1,1,29,-1,1,1,1,1,21,-1,0,0,0,0,17,18,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,-1,-1,10,10,9,-1,8,8,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C17219,0,1,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0,5,0,0,2,5,5,0,2,5,2,0,2,5,0,0,2,5,9,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2,2,0,1,0,1,0,0,1,1,0,1,0,2,1,0,3,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,2,2,0,0,1,1,0,0,2,0,2,0,0,1,0,1,0,2,0,0,1,0,2,0,0,2,2,0,0,1,1,1,0,0,0,0,1,0,2,0,1,0,2,0,0,2,2,0,0,0,1,0,2,0,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,152,119,89,77,74,62,70,71,63,64,60,55,52,56,56,55,45,39,41,49,49,45,41,1,34,32,41,1,1,1,23,26,1,1,1,1,20,21,0,0,0,0,16,19,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,6,7,7,7,6,-1,7,7,6,5,-1,4,4,4,1,-1,-1,-1,-1,-1,-1
C13108,0,0,0,0,1,2,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,0,5,0,0,3,2,0,0,1,0,0,4,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2,2,0,1,0,1,0,0,1,1,0,1,0,2,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,2,2,0,0,1,1,0,0,2,0,2,0,0,1,0,1,0,2,0,0,1,0,2,0,0,2,2,0,2,1,1,1,0,2,0,0,1,0,1,0,1,0,2,0,0,2,2,0,0,0,1,0,2,0,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,77,51,38,32,42,-1,27,27,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C13576,0,0,0,0,1,2,0,0,0,0,2,0,0,1,0,0,4,1,0,0,4,0,5,0,4,3,2,0,4,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2,2,0,1,0,1,0,0,1,1,0,1,0,2,1,0,1,0,1,1,0,3,1,0,0,0,1,0,0,0,1,0,1,1,0,2,2,0,0,1,1,0,0,2,0,2,0,4,4,0,1,0,2,0,0,1,0,2,0,0,2,2,0,2,1,1,1,0,2,0,0,3,1,0,0,1,0,2,0,0,2,2,0,0,0,1,0,2,0,0,0,3,3,1,0,0,3,3,1,0,0,3,3,1,0,0,3,3,1,143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,1,26,26,-1,1,1,1,28,24,1,1,1,1,25,19,0,0,0,0,21,16,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,4,4,4,-1,-1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C14650,0,0,0,0,2,2,0,0,2,0,1,0,2,4,1,0,2,4,1,0,6,4,1,2,6,4,1,2,6,4,1,2,6,4,1,2,5,2,0,0,0,0,2,2,2,5,0,2,2,2,2,0,2,2,2,5,0,1,0,4,4,0,2,2,2,2,0,1,0,3,3,0,1,0,3,3,0,1,0,4,4,0,2,2,2,2,0,2,2,0,5,0,1,0,4,4,0,0,1,4,4,0,0,2,2,2,0,2,2,0,2,0,2,2,0,5,0,1,0,4,4,0,0,2,2,5,0,2,2,2,5,0,2,2,0,5,0,1,0,4,4,0,2,2,0,5,0,2,2,2,2,0,2,2,2,2,0,2,2,2,2,0,2,2,2,2,28,13,13,12,11,11,10,10,10,10,10,10,10,9,9,9,9,9,10,10,9,9,9,1,10,10,9,1,1,1,9,9,1,1,1,1,5,5,0,0,0,0,6,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,2,2,2,2,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
C16884,1,0,0,0,0,0,2,2,3,3,0,2,3,3,4,2,3,3,4,2,3,3,4,6,3,7,4,6,3,7,4,6,3,7,4,6,4,3,0,0,0,1,1,0,4,4,1,0,3,3,3,1,0,3,3,3,1,0,3,3,3,1,0,3,3,3,0,1,0,4,4,0,1,0,4,4,0,1,0,3,3,1,1,0,4,4,1,0,3,3,3,1,0,3,3,3,0,0,3,3,3,0,0,3,3,3,1,0,3,3,3,1,0,3,3,3,1,0,3,3,3,0,0,3,3,3,1,1,0,4,4,1,0,3,3,3,1,0,3,3,3,1,0,3,3,3,1,1,0,4,4,1,1,0,4,4,1,1,0,4,4,1,1,0,4,4,50,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,31,31,31,30,-1,18,18,18,15,5,14,14,13,10,3,8,8,7,4,3,7,7,6,3,2
C12545,0,1,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0,5,0,0,2,5,5,0,2,5,2,0,2,5,0,0,2,5,9,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2,2,0,1,0,1,0,0,1,1,0,1,0,2,1,0,3,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,2,2,0,0,1,1,0,0,2,0,2,0,0,1,0,1,0,2,0,0,1,0,2,0,0,2,2,0,0,1,1,1,0,0,0,0,1,0,2,0,1,0,2,0,0,2,2,0,0,0,1,0,2,0,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,127,103,82,-1,-1,-1,60,66,59,-1,-1,-1,49,51,52,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,32,-1,1,1,1,23,26,1,1,1,1,20,21,0,0,0,0,16,19,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,11,11,11,-1,-1,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C12969,0,0,0,0,1,2,0,0,0,0,2,0,1,1,0,0,0,1,0,0,2,0,5,0,2,3,2,0,2,1,0,0,2,1,9,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2,2,0,1,0,1,0,0,1,1,0,1,0,2,1,0,3,1,0,1,0,3,1,0,0,0,1,0,0,0,1,0,2,0,0,2,2,0,0,1,1,0,0,2,0,2,0,0,1,0,1,0,2,0,0,1,0,2,0,0,2,2,0,2,1,1,1,0,2,0,0,3,1,0,0,1,0,2,0,0,2,2,0,0,0,1,0,2,0,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,141,107,78,58,67,58,62,69,53,50,53,51,51,48,46,42,40,36,35,43,42,35,37,1,32,30,34,1,1,1,21,25,1,1,1,1,18,20,0,0,0,0,15,17,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,-1,6,6,6,-1,-1,6,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C16584,1,0,0,0,0,0,2,0,1,2,0,0,4,2,2,0,1,0,2,0,0,6,0,0,7,6,3,0,7,6,3,0,7,6,3,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,2,2,2,0,0,2,2,2,2,0,2,2,2,2,1,1,0,1,1,1,0,1,4,4,1,0,1,1,1,0,2,2,2,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,2,0,1,1,1,1,0,3,3,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,85,63,42,41,32,31,29,37,25,35,26,27,27,29,22,23,21,21,24,24,23,22,20,1,17,20,18,1,1,1,16,18,1,1,1,1,12,14,0,0,0,0,9,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,13,13,13,11,-1,-1,-1,-1,-1,1,6,-1,-1,2,1,5,5,-1,1,-1
