CUST_ID,TSNE1,TSNE2,TSNE3
C17875,-9.197418,0.00027880998,-4.264486
C16296,3.9481118,0.68334645,-3.3683536
C17219,-2.8820784,-13.648506,5.1081104
C13108,5.710014,-2.4301293,6.7957025
C13576,6.5217185,-7.262234,1.3100328
C14650,-9.324109,-4.8308997,1.8208942
C16884,-0.20303766,7.913952,-16.107494
C12545,1.5561807,-14.815444,5.90394
C12969,2.839294,-9.300359,4.3160186
C16584,5.851961,12.356662,-6.294378
C12915,8.52941,-5.009972,-10.123634
C13874,-4.172451,7.7670345,-10.780354
C11045,2.9461737,-6.0489597,1.4856426
C13074,-3.13955,-3.3606925,4.9836164
C15304,-4.7727556,-9.526806,-0.36691695
C16327,5.440289,-0.36168545,9.679879
C14255,3.4334176,3.9804137,-4.1062055
C12928,2.5555649,5.5415645,-8.652335
C11840,-1.1672434,-1.7917196,9.042432
C10220,-0.31120437,4.03306,0.527567
C16574,-2.156897,2.0514,7.1507883
C10100,-0.00508609,6.692844,13.492042
C18361,3.018969,-1.855778,-2.8939598
C13032,0.66146857,5.9020925,5.1304464
C15804,0.5143745,8.109363,-5.292207
C16255,9.96341,-8.104226,-0.10134854
C16639,-10.321527,5.4602475,-0.5035272
C17942,-10.150593,-6.0719976,0.031586334
C12359,8.920092,8.736376,-6.2132783
C10760,10.927461,-8.043803,-2.0781364
C14370,10.761059,8.762603,0.3254266
C16872,-4.9485197,13.0389595,3.2607243
C18440,-2.8597414,1.1657071,12.219042
C16826,-4.3475785,13.924057,5.0508885
C11358,-5.295035,7.893883,8.960837
C11331,9.135452,-5.7594547,-9.393121
C11830,-2.1878746,-13.669356,7.7241263
C15999,-3.43083,-5.910476,1.0694733
C18086,3.8531275,-1.2414621,-3.8220298
C16931,0.4869419,8.153679,14.179775
C15003,5.566612,-6.9560323,-2.580337
C16673,-1.7376152,-9.268117,-4.5958886
C16454,6.3207483,-2.3288906,5.6845155
C15956,11.214328,-2.912177,1.1683671
C16753,-2.85746,-13.121593,-2.701835
C11905,2.1642509,-14.2507,8.139603
C19124,-0.44289798,-2.5724046,-13.50305
C16597,1.8037564,11.464348,-1.1512005
C16448,10.221263,-5.8841395,-8.958095
C15645,10.87646,-1.8021795,9.220848
C17167,-6.297681,-7.334903,0.6759506
C10231,-4.321591,2.6301131,-12.564708
C10727,1.3754952,8.048972,0.5400589
C16806,4.92408,6.813309,17.732836
C17221,3.787621,-13.432868,0.9219066
C17588,-1.9106619,-11.377311,3.2552238
C17257,-8.546159,7.2311883,0.1601002
C12922,2.6372492,5.637325,-8.683951
C11182,8.003774,-3.114183,6.541391
C15896,4.4322987,15.183206,-5.5754757
C14734,-2.7882347,1.2030907,-12.341609
C17005,-5.2835917,12.445058,0.018405184
C10763,-14.400342,3.0851607,-4.1910954
C13763,-7.7113757,-8.6493635,-4.9220743
C10645,10.57348,-11.124221,-1.0457335
C13133,-8.870051,2.5192897,2.7983718
C16760,-0.48081756,-0.19143307,3.934129
C16082,-3.2796974,12.939823,1.7473
C12728,-2.9659917,12.371602,4.9266706
C15164,8.875716,-2.5301027,-6.996842
C18054,3.7686398,3.4823537,-4.252795
C18117,-7.7007246,2.052882,-3.2386389
C13862,0.07194342,-1.8064955,-14.079582
C16226,6.7096887,-2.1924908,6.513019
C14278,-0.26223603,16.212265,4.4241185
C11950,-3.8106375,-3.426697,6.2057667
C19184,-5.9116106,0.23400585,-13.588548
C11342,9.830938,2.067427,3.0696743
C18435,12.393939,-4.659639,1.7223063
C13538,-1.1205314,-1.6145968,9.153873
C17968,-11.807919,-0.67351735,-1.5625197
C12092,8.928629,-5.134397,-10.31756
C13025,-7.10593,8.531395,1.0640081
C16372,1.8729033,-4.3899603,8.74824
C15780,1.3157026,0.23833466,11.879324
C18263,1.5599406,5.2756085,-13.577618
C12421,1.8120823,7.558411,-0.57515144
C11614,4.9788914,8.007844,-8.013668
C18116,1.2439433,-1.0218109,5.936762
C11477,-6.7389565,5.841393,-3.0024981
C14203,-3.4119213,-7.2679963,10.115852
C13240,-11.205292,-0.32166997,3.4832187
C11850,-3.0257843,-10.413617,8.399238
C16485,-4.125195,9.041157,7.9606743
C18596,2.4614186,-12.500056,1.1692994
C15199,-1.6659985,15.872667,-0.36157912
C17913,2.6083035,5.7113795,16.943861
C10175,2.7842453,-2.980859,7.4431496
C14756,7.1400137,-8.57871,-6.408909
C16134,5.4935727,6.919148,17.870272
C17175,-8.211766,-8.001407,-2.4363165
C15313,10.686724,-9.578822,0.86596346
C17042,-11.130269,4.4994106,-4.2732167
C14558,0.923097,-7.0331783,3.3722727
C17867,11.713225,-8.113796,2.0838623
C17300,-7.008285,11.469326,3.2243679
C11360,5.722431,12.342653,-6.6570563
C18408,-3.8253758,4.1685023,-12.923573
C16465,14.061081,-6.1219196,3.1153316
C10372,2.5886934,-3.521976,8.3830805
C11553,0.109767824,-5.8981714,3.8771794
C10562,-9.476826,-4.432521,-5.8787303
C17779,-11.449208,0.9212509,-3.6189108
C14896,-6.583306,-7.6218076,-0.74018985
C18482,-3.2747006,-12.366584,-2.687048
C17733,-14.682098,-6.051685,1.8484547
C15907,-13.927908,-6.7955093,1.1633476
C18991,-10.837825,-9.548637,-8.481221
C18534,3.7769337,-12.044421,-1.7715093
C15150,-6.4709635,-7.4649196,-2.4616945
C18750,-13.18578,2.7702606,-3.1551511
C15879,3.440519,10.39817,-0.9439385
C13086,2.7811866,-8.652251,4.594448
C11474,-3.2918978,3.2804794,4.7859883
C15037,8.1603155,-5.008696,6.4462137
