CUST_ID,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_BALANCE,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_BALANCE_FREQUENCY,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_ONEOFF_PURCHASES,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_INSTALLMENTS_PURCHASES,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_CASH_ADVANCE,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_ONEOFF_PURCHASES_FREQUENCY,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_PURCHASES_INSTALLMENTS_FREQUENCY,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_CASH_ADVANCE_FREQUENCY,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_CASH_ADVANCE_TRX,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_PURCHASES_TRX,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_KNN_IMPUTED_CREDIT_LIMIT,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_PAYMENTS,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_KNN_IMPUTED_MINIMUM_PAYMENTS,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_PRC_FULL_PAYMENT,MINMAX_STANDARD_STANDARD_STANDARD_STANDARD_TENURE
C17875,0.0010325080251618463,0.4545449999999999,0.0003679965653653871,0.0,0.007957203435087854,0.09090899999999998,0.0,0.06060600000000001,0.008130081300813014,0.0028818443804034533,0.24623115577889448,0.008481869466366497,0.002039445846736574,0.0,0.8333333333333333
C16296,0.033120179457827345,1.0,0.012158851850716058,0.0051831111111111106,0.06505549281677829,0.166667,0.49999999999999994,0.22222199999999998,0.08130081300813008,0.02881844380403458,0.06197654941373537,0.032374224849562844,0.009850849123350542,0.0,0.9999999999999999
C17219,0.0073130034906554175,1.0,0.0,0.01523288888888889,0.0,0.0,1.0,0.0,0.0,0.05763688760806915,0.06197654941373537,0.00645024591804446,0.0038749679441208735,0.0,0.9999999999999999
C13108,0.05483520515173079,1.0,0.04546254101628384,0.0021599999999999953,0.00786558835668361,0.6666669999999998,0.4166669999999999,0.055555333333333345,0.008130081300813014,0.09510086455331412,0.04522613065326636,0.01867315540197562,0.005177775185609716,0.0,0.9999999999999999
C13576,0.07937161873086626,1.0,0.04506682204299425,0.05431644444444444,0.0,0.4166669999999999,1.0,0.0,0.0,0.12103746397694523,0.22948073701842547,0.10961890571175127,0.011673095635164096,0.08333300000000003,0.9999999999999999
C14650,0.001976654885895643,0.727273,0.0,0.006482222222222221,0.0,0.0,0.583333,0.0,0.0,0.020172910662824204,0.028475711892797365,0.005198621087804087,0.0030660947903096147,0.125,0.9999999999999999
C16884,0.04985252463459695,0.875,0.022867061240761734,0.010133333333333334,0.1191419191321082,0.3749999999999999,0.49999999999999994,0.5833333333333334,0.06504065040650407,0.03746397694524496,0.06197654941373537,0.09661633600535931,0.004641748658359833,0.19999999999999998,0.33333333333333326
C12545,0.06469875095901065,1.0,0.0,0.03935288888888888,0.0,0.0,0.8333330000000001,0.0,0.0,0.31988472622478387,0.028475711892797365,0.020844306592850415,0.037846581185434394,0.0,0.9999999999999999
C12969,0.0368464641978479,1.0,0.0066124076175289,0.02181555555555554,0.0,0.166667,1.0,0.0,0.0,0.10086455331412103,0.14572864321608037,0.016358204867768684,0.004363968339353387,0.0,0.9999999999999999
C16584,0.13400676757126695,1.0,0.0,0.0,0.11013195000569172,0.0,0.0,0.6111113333333333,0.21138211382113822,0.0,0.2629815745393635,0.03411502713196676,0.011286576425962027,0.0,0.9999999999999999
C12915,0.020568080276902212,1.0,0.07942518936489923,0.0,0.0,0.7499999999999998,0.0,0.0,0.0,0.05475504322766569,0.06197654941373537,0.06184982776891722,0.0029278307812411614,0.571429,0.9999999999999999
C13874,0.26864651730155115,1.0,0.0,0.0,0.015380927632197332,0.0,0.0,0.22222199999999998,0.024390243902439036,0.0,0.14572864321608037,0.015304001866241954,0.031122961724800044,0.0,0.5
C11045,0.0760440281432761,1.0,0.06484099481738169,0.056495555555555556,0.0,0.24999999999999994,0.4166669999999999,0.0,0.0,0.0345821325648415,0.31323283082077047,0.07846984970354386,0.011989407130157422,0.08333300000000003,0.9999999999999999
C13074,0.013007152501817831,1.0,0.008169523751111652,0.012666666666666666,0.0,0.08333299999999999,0.333333,0.0,0.0,0.020172910662824204,0.19597989949748743,0.007460020881376692,0.003971951298273603,0.0,0.9999999999999999
C15304,0.005520883375518787,0.9090909999999999,0.01047612622282192,0.03646088888888888,0.0,0.27272699999999994,0.818182,0.0,0.0,0.07204610951008644,0.16247906197654938,0.015040240987936285,0.0026982463701715545,0.4545449999999999,0.8333333333333333
