CUST_ID,UMAP1,UMAP2,UMAP3
C17875,5.773195,2.3106706,6.782101
C16296,2.5565777,7.80673,6.802988
C17219,5.4133654,9.008095,5.952076
C13108,3.7199278,6.6158953,7.3077154
C13576,4.325659,7.791241,8.12979
C14650,6.4791675,4.0795217,5.643057
C16884,0.97707874,3.1317694,10.052162
C12545,4.470948,9.071537,6.827088
C12969,4.696726,8.463097,7.098869
C16584,-0.46280876,5.498033,8.873415
C12915,5.9066043,5.874143,9.314769
C13874,0.7593442,5.295006,5.541831
C11045,4.656596,7.5895944,7.1564507
C13074,4.2658486,6.722757,5.2370973
C15304,7.0542974,7.340872,6.798698
C16327,3.415628,5.8561716,6.5398726
C14255,-0.20038165,4.747468,7.6638637
C12928,0.5864795,5.7013693,8.254445
C11840,3.2671978,6.61819,5.2599955
C10220,1.277408,5.232638,6.1851163
C16574,3.3434348,5.606837,5.007632
C10100,0.6286086,5.3281302,4.224926
C18361,3.1246316,8.389696,6.557423
C13032,1.1718695,5.665823,5.676742
C15804,0.51025957,4.884115,7.961764
C16255,4.20075,7.8851757,8.922758
C16639,4.4855433,2.4649215,5.9811935
C17942,6.7081323,4.0282245,5.725556
C12359,0.40504226,6.3754244,8.948982
C10760,4.756211,7.6974344,9.314541
C14370,0.4062886,7.102011,8.121155
C16872,-0.14533553,4.158,5.2664366
C18440,2.8614225,5.9322224,4.4331365
C16826,-0.2263199,4.274633,5.0956016
C11358,0.4672629,3.6451004,4.217207
C11331,5.989962,6.030379,9.513726
C11830,4.834557,9.006551,5.8826303
C15999,4.7840075,7.1586895,6.531955
C18086,2.8602793,8.227782,6.7697167
C16931,0.5315711,5.3158817,4.2710896
C15003,4.8851185,7.028375,8.334765
C16673,7.446113,7.2827034,7.8612638
C16454,3.6923375,6.7369905,7.5089417
C15956,3.536853,7.5740933,8.592585
C16753,7.6413245,7.810752,7.261832
C11905,4.1757812,9.270203,6.598664
C19124,2.7449238,3.2181218,10.582312
C16597,-0.16315383,5.1044126,7.31802
C16448,5.8545146,6.2597294,9.622819
C15645,3.9503438,5.6532207,8.174636
C17167,6.998606,6.6654387,6.652524
