CUST_ID,BALANCE,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C17875,0.001032508025161839,0.454545,0.0003679965653653899,0.0,0.007957203435087856,0.090909,0.0,0.060606,0.008130081300813009,0.002881844380403458,0.2462311557788945,0.00848186946636649,0.002039445846736574,0.0,0.8333333333333333
C16296,0.03312017945782735,1.0,0.01215885185071606,0.005183111111111111,0.0650554928167783,0.166667,0.5,0.22222199999999998,0.0813008130081301,0.02881844380403458,0.06197654941373535,0.03237422484956284,0.009850849123350547,0.0,1.0
C17219,0.007313003490655418,1.0,0.0,0.01523288888888889,0.0,0.0,1.0,0.0,0.0,0.05763688760806916,0.06197654941373535,0.00645024591804446,0.003874967944120879,0.0,1.0
C13108,0.05483520515173079,1.0,0.045462541016283844,0.00216,0.00786558835668361,0.666667,0.416667,0.05555533333333333,0.008130081300813009,0.09510086455331411,0.04522613065326633,0.01867315540197561,0.005177775185609722,0.0,1.0
C13576,0.07937161873086628,1.0,0.04506682204299427,0.054316444444444445,0.0,0.416667,1.0,0.0,0.0,0.12103746397694523,0.22948073701842547,0.10961890571175126,0.0116730956351641,0.083333,1.0
C14650,0.001976654885895653,0.727273,0.0,0.0064822222222222226,0.0,0.0,0.583333,0.0,0.0,0.020172910662824207,0.028475711892797323,0.005198621087804086,0.003066094790309622,0.125,1.0
C16884,0.04985252463459695,0.875,0.022867061240761752,0.010133333333333334,0.11914191913210821,0.375,0.5,0.5833333333333333,0.06504065040650407,0.037463976945244955,0.06197654941373535,0.0966163360053593,0.004641748658359837,0.2,0.33333333333333326
C12545,0.06469875095901065,1.0,0.0,0.039352888888888896,0.0,0.0,0.833333,0.0,0.0,0.31988472622478387,0.028475711892797323,0.0208443065928504,0.03784658118543441,0.0,1.0
C12969,0.03684646419784789,1.0,0.006612407617528902,0.021815555555555557,0.0,0.166667,1.0,0.0,0.0,0.10086455331412103,0.14572864321608042,0.016358204867768678,0.00436396833935339,0.0,1.0
C16584,0.134006767571267,1.0,0.0,0.0,0.11013195000569174,0.0,0.0,0.6111113333333333,0.21138211382113822,0.0,0.2629815745393635,0.03411502713196675,0.01128657642596203,0.0,1.0
C12915,0.02056808027690222,1.0,0.07942518936489926,0.0,0.0,0.75,0.0,0.0,0.0,0.0547550432276657,0.06197654941373535,0.061849827768917204,0.0029278307812411635,0.571429,1.0
C13874,0.26864651730155115,1.0,0.0,0.0,0.015380927632197332,0.0,0.0,0.22222199999999998,0.024390243902439025,0.0,0.14572864321608042,0.015304001866241949,0.031122961724800058,0.0,0.5
C11045,0.0760440281432761,1.0,0.0648409948173817,0.05649555555555556,0.0,0.25,0.416667,0.0,0.0,0.034582132564841495,0.3132328308207705,0.07846984970354384,0.011989407130157427,0.083333,1.0
C13074,0.013007152501817823,1.0,0.008169523751111655,0.012666666666666668,0.0,0.083333,0.333333,0.0,0.0,0.020172910662824207,0.19597989949748745,0.007460020881376684,0.0039719512982736085,0.0,1.0
C15304,0.005520883375518788,0.909091,0.01047612622282192,0.03646088888888889,0.0,0.272727,0.818182,0.0,0.0,0.07204610951008646,0.16247906197654943,0.01504024098793628,0.002698246370171558,0.454545,0.8333333333333333
C16327,0.03357794276339534,0.909091,0.02628059738109111,0.006876888888888889,0.0,0.666667,0.166667,0.0,0.0,0.037463976945244955,0.04522613065326633,0.007889242594895592,0.006489001426395602,0.0,1.0
C14255,0.07292481112682198,1.0,0.02753350302063847,0.0,0.05428383555224362,0.416667,0.0,0.27777799999999997,0.07317073170731708,0.02593659942363112,0.1289782244556114,0.06371119277139374,0.007472385151863579,0.0,1.0
C12928,0.13623231602140445,0.545455,0.0,0.0,0.24547264345026557,0.0,0.0,0.22222199999999998,0.0975609756097561,0.0,0.22948073701842547,0.007842815738975658,0.011210441459257092,0.0,1.0
C11840,0.06462108799665721,1.0,0.024601797049894198,0.0010760000000000001,0.011954619844720455,0.25,0.25,0.05555533333333333,0.024390243902439025,0.023054755043227664,0.06867671691792296,0.023286809883235244,0.005285748925486673,0.0,1.0
C10220,0.15077540358024816,0.818182,0.0,0.0,0.003893454355498368,0.0,0.0,0.05555533333333333,0.008130081300813009,0.0,0.2462311557788945,0.08958008538021589,0.015181717849816602,0.0,1.0
C16574,0.07086891798421753,1.0,0.01383667085773866,0.0,0.0,0.166667,0.0,0.0,0.0,0.017291066282420747,0.1289782244556114,0.005501562602565021,0.0069304584894689155,0.0,1.0
C10100,0.06990436209187989,1.0,0.0,0.0,0.004591506717312457,0.0,0.0,0.05555533333333333,0.008130081300813009,0.0,0.035175879396984924,0.002993280971741675,0.06817085398739081,0.0,1.0
C18361,0.08654437465743596,1.0,0.0,0.012,0.027085014598337627,0.0,0.833333,0.16666666666666666,0.024390243902439025,0.02881844380403458,0.04522613065326633,0.025226581819747473,0.021164501098718334,0.0,1.0
C13032,0.17471663771037266,1.0,0.0023470820939004568,0.0,0.010375822257718902,0.083333,0.0,0.05555533333333333,0.008130081300813009,0.002881844380403458,0.17922948073701844,0.013389558565938597,0.020938082591510348,0.0,1.0
C15804,0.15849956214820654,1.0,0.0,0.0,0.22979790809129383,0.0,0.0,0.16666666666666666,0.05691056910569106,0.0,0.09547738693467338,0.11877797467475328,0.01937611165574999,0.181818,1.0
C16255,0.13764859132667828,1.0,0.030385476402220245,0.07692222222222223,0.0,0.75,1.0,0.0,0.0,0.2622478386167147,0.3132328308207705,0.014061463698485967,0.015089247822246216,0.0,1.0
C16639,0.0169846550782306,0.454545,0.0,0.0,0.03565439987216665,0.0,0.0,0.05555533333333333,0.016260162601626018,0.0,0.028475711892797323,0.004887764090817395,0.0035658187140088535,0.0,1.0
C17942,0.0002653717503784946,0.545455,0.0,0.004449777777777778,0.0,0.0,0.666667,0.0,0.0,0.02593659942363112,0.1289782244556114,0.002434588655926091,0.0014309916418970552,0.3,1.0
C12359,0.32848567327741895,1.0,0.022226501885982398,0.06948,0.22230563748695675,0.583333,0.833333,0.44444466666666665,0.21951219512195125,0.09510086455331411,0.2629815745393635,0.024188123073851677,0.04729969418075953,0.0,1.0
C10760,0.030231214173993853,1.0,0.06783795884571743,0.07140711111111112,0.0,0.916667,1.0,0.0,0.0,0.2795389048991354,0.6649916247906198,0.07103954236562375,0.004876155946677221,0.583333,1.0
C14370,0.7725548911655441,1.0,0.0,0.0,0.1238074258954123,0.0,0.0,0.05555533333333333,0.04878048780487805,0.0,0.4639865996649916,0.05976930216103995,0.0691180236160269,0.0,1.0
C16872,0.03338348820737927,1.0,0.0027428010671900396,0.0,0.03474913607534461,0.083333,0.0,0.11111133333333334,0.024390243902439025,0.002881844380403458,0.035175879396984924,0.002669794789692444,0.004314523977645317,0.0,1.0
C18440,0.026710887839977205,1.0,0.0006677911006163942,0.0,0.0,0.083333,0.0,0.0,0.0,0.002881844380403458,0.01172529313232831,0.0031650659713671277,0.005182427711468261,0.0,1.0
C16826,0.059672784652615773,1.0,0.002453310435769266,0.0,0.001426423544252536,0.083333,0.0,0.11111133333333334,0.016260162601626018,0.002881844380403458,0.028475711892797323,0.006273998056037926,0.01355652606988752,0.0,1.0
C11358,0.06711003529202138,1.0,0.0008586586525192432,0.0,0.0007158403376924796,0.083333,0.0,0.05555533333333333,0.008130081300813009,0.005763688760806916,0.035175879396984924,0.0068628586733035955,0.01158700524600859,0.0,1.0
C11331,0.024312921168722443,1.0,0.106702812107087,0.0,0.0,0.916667,0.0,0.0,0.0,0.040345821325648415,0.16247906197654943,0.08638260032543338,0.003831877628240837,1.0,1.0
C11830,0.07783063886803156,0.818182,0.0,0.01979822222222222,0.0,0.0,1.0,0.0,0.0,0.037463976945244955,0.08207705192629818,0.056701806364521115,0.011488087716271045,0.0,1.0
C15999,0.020749005639520063,1.0,0.06106167009107914,0.016270666666666666,0.0,0.25,0.583333,0.0,0.0,0.04322766570605187,0.19597989949748745,0.055227191447028694,0.0029485226809283374,0.375,1.0
C18086,0.011193852666003236,1.0,0.0,0.007007555555555555,0.008182500881279815,0.0,0.916667,0.27777799999999997,0.04878048780487805,0.03170028818443804,0.028475711892797323,0.0027315327317351547,0.0049190517729720004,0.0,1.0
C16931,0.05809444519839348,1.0,0.0,0.0,0.02468902986123384,0.0,0.0,0.16666666666666666,0.024390243902439025,0.0,0.21273031825795646,0.047629283726847216,0.09226495304602794,0.0,1.0
C15003,0.04059765637475888,1.0,0.011847036094329785,0.012099555555555556,0.0,0.75,0.75,0.0,0.0,0.08357348703170028,0.21273031825795646,0.045039748084370695,0.005800176013177878,0.333333,1.0
C16673,0.003428855427521533,1.0,0.0,0.019551555555555558,0.0,0.0,1.0,0.0,0.0,0.07204610951008646,0.19597989949748745,0.00885311545036801,0.004039609465375382,1.0,1.0
