CUST_ID,TSNE1,TSNE2,TSNE3
C17875,-9.09524,-0.0026678194,-4.288164
C16296,4.0069547,0.72363716,-3.4078577
C17219,-2.8229065,-13.534322,5.114789
C13108,5.727043,-2.408419,6.7715263
C13576,6.5322967,-7.2216043,1.3161577
C14650,-9.232612,-4.796364,1.7971351
C16884,-0.19508821,7.7453856,-16.332184
C12545,1.600771,-14.715527,5.870498
C12969,2.8417978,-9.3062105,4.305732
C16584,5.9213758,12.422275,-6.2811036
C12915,8.589428,-5.065524,-10.105409
C13874,-4.1025434,7.6716805,-10.84223
C11045,2.962507,-5.931531,1.5390078
C13074,-3.0838282,-3.2843952,4.9418006
C15304,-4.7048535,-9.450683,-0.39070576
C16327,5.485579,-0.32497072,9.678555
C14255,3.443686,3.9982045,-4.180248
C12928,2.6578586,5.585656,-8.684437
C11840,-1.0777167,-1.7738934,9.053184
C10220,-0.31573308,4.0219955,0.51667446
C16574,-2.0964181,2.0459645,7.189239
C10100,0.03446152,6.713814,13.458456
C18361,3.063898,-1.801295,-2.9456363
C13032,0.68581307,5.9071097,5.130713
C15804,0.5308702,8.171182,-5.339194
C16255,9.970775,-8.047896,-0.107795976
C16639,-10.297705,5.465672,-0.47130835
C17942,-10.08338,-6.052368,0.018947063
C12359,8.954303,8.610383,-6.1496387
C10760,10.910648,-7.967583,-2.0942116
C14370,10.774838,8.777156,0.3028039
C16872,-4.904741,13.063452,3.2903726
C18440,-2.7643101,1.134582,12.257233
C16826,-4.275872,13.969806,5.069415
C11358,-5.2232065,7.891858,8.955972
C11331,9.169046,-5.838276,-9.3824625
C11830,-2.150859,-13.550552,7.713677
C15999,-3.3668578,-5.919823,1.0542163
C18086,3.9061568,-1.2030873,-3.8576634
C16931,0.5269082,8.178791,14.135788
C15003,5.561821,-6.9229665,-2.5630236
C16673,-1.6566172,-9.199666,-4.6054206
C16454,6.3377094,-2.3075895,5.6608467
C15956,11.226812,-2.8564262,1.1470848
C16753,-2.791191,-13.031856,-2.7015567
C11905,2.212526,-14.223668,8.089202
C19124,-0.4759176,-2.6125011,-13.514196
C16597,1.8212415,11.462949,-1.142932
C16448,10.256369,-5.997055,-8.941441
C15645,10.854208,-1.8024138,9.176009
C17167,-6.2305236,-7.289514,0.65145737
C10231,-4.339786,2.5306535,-12.651304
C10727,1.3756096,8.047895,0.5591511
C16806,4.9125557,6.8492155,17.75758
C17221,3.8275018,-13.416795,0.9310022
C17588,-1.8678837,-11.291013,3.2720556
C17257,-8.55043,7.283805,0.17984758
C12922,2.7343976,5.678662,-8.719476
C11182,8.018129,-3.1024213,6.513589
C15896,4.4445877,15.206552,-5.581998
C14734,-2.8260376,1.1345744,-12.482952
C17005,-5.2850595,12.38046,0.009533129
C10763,-14.311736,3.0905933,-4.192563
C13763,-7.592025,-8.568809,-4.957521
C10645,10.602527,-11.077381,-1.0457574
C13133,-8.854316,2.527954,2.8199065
C16760,-0.4073512,-0.16597915,3.940729
C16082,-3.3351393,12.994494,1.717652
C12728,-2.9279323,12.400077,4.9474144
C15164,8.954981,-2.587618,-7.0263233
C18054,3.7783518,3.4991636,-4.323564
C18117,-7.6095552,2.1166453,-3.261923
C13862,0.054780778,-1.8518765,-14.07544
C16226,6.7237663,-2.169969,6.484652
C14278,-0.20842344,16.202826,4.4306135
C11950,-3.7717957,-3.3421004,6.150916
C19184,-5.9525204,0.17416312,-13.689679
C11342,9.9664955,2.0386326,3.028871
C18435,12.413446,-4.570952,1.7018745
C13538,-1.0333804,-1.6056966,9.173436
C17968,-11.753904,-0.6639664,-1.5915505
C12092,8.985758,-5.202813,-10.301069
C13025,-7.093954,8.567871,1.0735426
C16372,1.8956933,-4.36539,8.758349
C15780,1.3898668,0.24498907,11.887081
C18263,1.5600768,5.1466393,-13.795037
C12421,1.830336,7.5426254,-0.5436575
C11614,4.964914,8.1762,-7.9844637
C18116,1.3406806,-0.97209156,5.9221177
C11477,-6.7047877,5.8597827,-2.954726
C14203,-3.397145,-7.129141,10.097215
C13240,-11.145016,-0.3122447,3.4806511
C11850,-3.0046365,-10.315692,8.416503
C16485,-4.07169,9.052284,7.9456215
C18596,2.5044453,-12.482107,1.1758369
C15199,-1.6352302,15.870536,-0.36270037
C17913,2.590049,5.7615957,16.947983
C10175,2.8220239,-2.9709046,7.457674
C14756,7.1056046,-8.577829,-6.3989625
C16134,5.4716268,6.9294024,17.90545
C17175,-8.142886,-7.9487195,-2.4812427
C15313,10.708563,-9.514152,0.84102005
C17042,-11.025765,4.5006595,-4.270077
C14558,0.95582956,-7.0147033,3.3480754
C17867,11.718643,-8.035997,2.0915625
C17300,-6.9257154,11.497527,3.221073
C11360,5.8045597,12.395793,-6.6379395
C18408,-3.8366857,4.0687184,-13.027712
C16465,14.077611,-5.9866447,3.0858955
C10372,2.6217225,-3.5094528,8.390822
C11553,0.16430582,-5.8674297,3.8596008
C10562,-9.481129,-4.4302845,-5.9410634
C17779,-11.344729,0.92435145,-3.6464481
C14896,-6.522547,-7.567788,-0.767366
C18482,-3.2071626,-12.278166,-2.7001529
C17733,-14.542625,-5.994954,1.9283993
C15907,-13.800716,-6.7272763,1.1925054
C18991,-10.635336,-9.657956,-8.510451
C18534,3.7734556,-12.009274,-1.7461576
C15150,-6.408264,-7.4055686,-2.4929276
C18750,-13.087631,2.74812,-3.173375
C15879,3.468304,10.399315,-0.941993
C13086,2.778461,-8.658177,4.57695
C11474,-3.2316513,3.2965984,4.817854
C15037,8.160141,-4.9795766,6.4255214
C16616,4.2543225,-7.7479873,3.7683294
C10859,4.0441337,-7.7584877,4.946478
C14453,-7.915681,0.1535793,-12.077874
C16407,0.23822497,6.3040843,15.229971
C13091,-4.647157,4.7521987,-4.831633
C11697,-0.5993739,15.454605,0.36452147
C17505,-1.6449342,-0.7192816,-8.687331
C11784,-12.083416,1.2902505,-4.4673114
C17012,-13.033924,1.7141507,-0.5892784
C17622,-1.540802,9.976801,-2.7149217
C16431,-8.57774,-9.433896,2.3153799
C14923,-5.568306,-0.090794064,3.2759426
C16809,10.246446,-2.3457046,6.4014573
C16938,9.769083,-9.850205,1.1379342
C15610,-5.2360992,3.703299,10.473193
C18643,4.7571874,-2.6500316,-2.827074
C18060,10.913577,-9.680028,0.9750097
C10999,-1.6177207,-7.2327237,9.491641
C18523,-1.8908138,7.5844817,-15.148803
C12232,0.5942749,-7.0153384,0.84755677
C18206,-10.38877,1.8835642,-0.53233314
C10974,-9.230165,0.25443745,-5.783234
C13557,8.456567,-3.500562,7.381535
C13295,-2.3535578,9.794507,-0.18285261
